Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP (current US$),NY.GDP.MKTP.CD,Thailand,THA,85343063965.9182,126392308497.749,281710095724.761,341105009515.333,370818747396.833,397558094269.877,420333333333.333,407339361695.577,401399422442.967,411755164832.674,455302682985.757,..
GDP (current US$),NY.GDP.MKTP.CD,Timor-Leste,TLS,..,439600000,3199600000,3998900000,5681900000,6671000000,5649800000,4045400000,3104400000,2521000000,2954620999.58441,..
GDP (current US$),NY.GDP.MKTP.CD,Togo,TGO,1628427515.41881,1488185772.47585,3365711796.38206,3426022205.75557,3867391618.08827,3873529926.22723,4320427495.74933,4568900619.92456,4179185205.16122,4457732624.94515,4757776485.12802,..
GDP (current US$),NY.GDP.MKTP.CD,Tonga,TON,113563821.577404,202363492.160332,318166562.784677,369485198.817979,423011844.331641,472358251.224261,450686353.674011,443911052.254042,435438217.281663,401117499.988895,427659795.301271,..
GDP (current US$),NY.GDP.MKTP.CD,Trinidad and Tobago,TTO,5068000000,8154338232.95978,19172165225.5015,22157253321.2039,25366520906.9264,25601811993.9704,26578524198.305,27200280855.0476,24401734194.6814,22295585700.3672,22079017626.6686,..
GDP (current US$),NY.GDP.MKTP.CD,Tunisia,TUN,12290568181.8182,21473188881.5933,43454935940.1614,44050929160.2627,45810626509.4474,45044112939.3687,46251061734.4741,47632326088.237,43152528548.124,41808379888.2682,39952095560.8829,..
GDP (current US$),NY.GDP.MKTP.CD,Turkey,TUR,150676291094.21,272979846449.136,644640000000,771901783337.77,832523582089.552,873982182628.062,950579367580.628,934185972127.028,859796691176.471,863721731068.508,851549299635.427,..
GDP (current US$),NY.GDP.MKTP.CD,Turkmenistan,TKM,3189539641.3171,2904662604.82053,20214385964.9123,22583157894.7368,29233333333.3333,35164210526.3158,39197543859.6491,43524210526.3158,35799714285.7143,36180000000,37926285714.2857,..
GDP (current US$),NY.GDP.MKTP.CD,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Tuvalu,TUV,8824447.74022325,13742057.0500928,27101076.2751521,31823518.6204366,38711827.7537311,37671734.8254533,37509122.0727128,37290587.4998681,35556038.8176495,36572611.8853148,39731317.3044487,..
